rank,username,member_number,points
1,Happycat,0000172742,12
2,Lil Winr,0000015329,9
3,Val,0000116643,9
4,Lance,0000023281,9
5,Key of Destiny,0000043071,9
6,AzureMage,0000109465,9
7,grillmast3r,0000291609,6
8,n1ghtw1ng,0000008415,6
9,Delzama,0000014681,6
10,Hypstereo,0000239039,6
11,Franky,0000340557,6
12,ScarletMerc,0000135360,6
13,Vlad312,0000293744,6
14,Dreadfulboredom,0000116559,3
15,Number Breaker,0000375279,3
16,Reeses,0000003635,3
17,Lord Luna Equie is me,0000166342,0
18,ReyArturo,0000519913,0
